ID-Massa,$$m(\pm0.01g)$$,$$x(\pm0.1cm)$$
ND,56.20,7.0
t0,98.66,7.7
i2,151.66,8.6
u4,200.37,9.4
i5,247.56,10.1
t9,292.22,10.7
b8,330.77,11.3
57,373.44,12.0
