ID-Massa,$$m(\pm0.01g)$$,$$x(\pm0.1cm)$$
S,55.10,0.8
U8,97.69,1.6
T5,140.20,2.3
T2,182.6,2.8
N6,232.87,3.6
F7,278.56,4.2
I7,322.08,4.8
F4,371.90,5.6
