ID-Massa,$$m(\pm0.01g)$$,$$x(\pm0.1cm)$$
S,56.20,1.0
T0,98.66,1.7
I2,151.66,2.6
U4,200.37,3.4
I5,247.56,4.1
T9,292.22,4.7
B8,330.77,5.3
S7,373.44,6.0
